"id","Mark","Text",
"43","3","The batman vs superman concept was always a dumb idea... in comics, in conversation, but especially in this movie. 
The movie starts out in a silly situation... (no spoilers here) and just progresses to get less and less interesting. 
It's not that Affleck is the worst batman since joel schumacher decided to put nipples on the batsuits... even though he is.
It's not that the guy playing superman somehow has no charisma at all. 
Gal Gadot could have been OK with a better script but it's hard to tell since the character is kind of flat. 
Save your time. Watch something (anything) else.",
"44","1","If you are just looking for a digital special effects show, buy a ticket and enjoy your popcorn and coke! there are a few novel digital effects there but do not ask for a rational story. Batman is manipulated against superman by a mad scientist in seconds and suddenly becomes Superman companion in less than seconds! The mad scientist (the worst artist for this role) makes a fight which it simply does not make sense. Why he does this? what does he want? NO answer! weak links and irrational reasons. It seems that Nolan got surprised by a new idea and made up the story over a night with no editing! Batman is used to be known as a fair and rational person. Why he suddenly decide to act as a criminal and fight back the BAD guys by marking them?? Why he does not use his super artificial intelligent system to check the SCIENTIST background? why superman can hear his girlfriend scream from the Arctic but he can not hear his mum????? Whole the movie reminds you a teenage comic. Actually, not a 2016-teenager, but a 1916-one! As even my 10-year-old son did not buy it and rate it awful!",
"45","1","I admit it. I am old school. Grew up reading DC comics. Know the canon and backstory. Enjoyed the campy cartoons and "NA na na na na na na BAT-MAN." This IS NOT BATMAN. This is NOT SUPERMAN. They're not good enough to bear those names. Some greedy (expletive deleted) slapped these names on their gawful ideas and fed the mess to the public. If you paid to see this, you're to blame. As long as you pay, they'll keep it up. Harrumph. I'd give it a second star if they renamed the characters, and stopped abusing my memories of the golden age of comics. Come to think of it, Nite Owl would have made a better "Batman" than this Batman... and a decent Clark Kent, too. (No, I wouldn't stretch it to cover Superman.)",
"46","2","The only reason I didn't give it a 1 (or Zero, if it were allowed) is that Ben Affleck is a pretty good Bruce Wayne. The plot is convoluted and illogical. The battle takes place in downtown Gotham, and Superman should have figured out from the last throw down that civilians are in danger. Jessie Eisenberg is a ridiculous Lex Luthor - he seems to be trying to channel Mark Hamill's Joker, both in mannerisms and voice. The various cameos of other DC characters were distracting, but I suppose were needed to set the stage for 'Justice League'
Very disappointing overall. This might be the end of the DC cinematic universe.",
"47","1","a horrible movie contains too many explosions, poor plots and no story telling at all. All actions scenes are somewhat well-made but the lack of understanding it makes them boring, I wanted to get out of the theater right in the middle of this movie. Cringe acting, way too "dark" (literally dark) too see, sometimes i don't even know what i'm looking at because 90% of screen is black.This film with the terrible plots, dialogues completely ruined the character Batman, it destroyed what Christopher Nolan built in years for just an hour. I came with excitement, but I wanted my ticket back right after I walked out of the cinema.",
"48","2","Come on how bad can a movie even be. Let's work along side with each other at the start and then fall out for the next 2 hours and 25 minutes and then the finally 5 minutes are quite sad. But I would hardly believe that it is true. Like Batman mask is so weird he looks like a robot with the blue eyes and plus he has no emotion. Good news. If you like Batman and Superman--they are both in this movie. Bad news. You're not going to recognize either one of them--unless you already saw Batman as a psychotic Donald Trump, and Superman as a whiny emo loser. Just watched this flop. This isn't a superhero movie. This is a sub-mediocre action movie with superheroes thrown in to make it seem interesting and milk the trend. Great for 13 year old edge lords. Go see if you're a latent Juggalo.",
"49","2","Curt Swan's SUPERMAN was an inspiration to the young Poe426; as was the BATMAN of the same period. To see how the Mighty have fallen is akin to attending the Final Moments of a Loved One (which I've done). Superman suffers not one but TWO brutal cgi beatdowns in BATMAN VS SUPERMAN, and he suffers them back to back; no wonder "The Man Of Steel" succumbs. Historically (or hysterically), both beatings were the kind of lamebrained gimmicks comic book publishers/editors come up with to try to breathe life into what they believe are foundering titles (like "variant" covers or tin foil covers, etc.), and now they've transposed same to The Big Screen. It is what it is, and the movie speaks (ever so poorly) for itself.",
"50","1","Show is great, but it's the censored version on Amazon Prime.
Most episodes are 4-6min shorter because of all the censoring. Not sure why they would, but it's pretty lame to do so and not make it clearly stated. This show deserves to be seen as the creators intended it, I will get the the rest of the seasons elsewhere.",
"51","2","This is a short review, but this movie wasn't great. the fight scenes where flashy and hard to follow, the plot was dumb, and the lex luthor character was more joker than lex luthor. The only reason this has two stars, was because of doomsday. he was cool, and earned this movie both of those stars alone. all in all, don't watch this movie. go see what they are trying to rip off, avengers civil war.",
"52","1","Everything that could go wrong goes wrong in this movie. From screenplay to direction , this movie disappoints in acting , graphics , lightening well in every thing , Superman disappoints me , lex luthor may make u laugh , and the ultimate showdown, which we had in our minds, goes terribly wrong....",
"53","3","And that is about the best thing that can be said, about this Remake. OK, the actors are good looking too, but it's up to you to decide if you want to honor the casting people. And they just did more or less, what the original did. Took some "hot" names and put them together in a movie. It's not the fault of the actors though, that the movie could not live up to the original (which did not age well itself).
Even though you sort of get a new villain (sort of, "instead" of Russia) and one that is personified, it doesn't really touch you. The plot just doesn't fly. There are more holes here than in swiss cheese. It tries hard to explain things, which often times makes them even more ridiculous. Even the original knew better than that. Of course the action is updated as mentioned above, but is that enough for the lack of passion and the obnoxious use of the "piece symbol" (with fingers)? You have to answer that one yourself. Characters are not consistent and overall it's too "smooth" for its own good",
"54","","",
"55","","",
"56","","",
"57","","",
"58","","",
"59","","",
"60","","",
"61","","",
"62","","",
"63","","",
"64","","",
"65","","",
"66","","",
"67","","",
"68","","",
"69","","",
"70","","",
"71","","",
"72","","",
"73","","",
"74","","",
"75","","",
"76","","",
"77","","",
"78","","",
"79","","",
"80","","",
"81","","",
"82","","",
"83","","",
"84","","",
"85","","",
"86","","",
"87","","",
"88","","",
"89","","",
"90","","",
"91","","",
"92","","",
"93","","",
"94","","",
"95","","",
"96","","",
"97","","",
"98","","",
"99","","",
"100","","",
"101","","",
"102","","",
"103","","",
"104","","",
"105","","",
"106","","",
"107","","",
"108","","",
"109","","",
"110","","",
